gen,nevals,avg,std,min,max
0,50,-4.6406154740239005,3.96637998406554,-7.559559496007699,13.009567413221262
1,53,-3.0186663684650954,7.057913117191283,-5.8289456176102075,30.588353948144956
2,55,-2.4342831651075123,8.182970684550748,-5.777652323222656,30.588353948144956
3,60,-2.9930005361735796,6.1518558131142145,-5.7745515455444085,21.818216449707915
4,59,-3.364044806940109,6.20466259723967,-5.75890177387728,30.37959913428285
5,61,-2.5104514410046006,7.849060323057949,-5.75890177387728,30.81821644970792
6,56,-1.1303973644514285,7.822249317646603,-5.75890177387728,21.394197933704
7,57,-1.2847881210675842,7.931465117605515,-5.568344503761097,21.691732302598798
8,61,-1.2030355283174392,7.7711620056795,-5.627621113690637,21.601837298482245
9,60,-0.08295128023150511,8.820884620380026,-5.541263545158426,30.234808897215153
10,60,2.107839285765065,11.451091270703104,-5.541263545158426,57.16518926293739
11,55,2.335650875751388,9.467009106244541,-5.497168225293202,30.347510819731344
12,56,1.3902102099596312,7.917013792886698,-5.40267738187228,13.087345114263947
13,58,3.293094090150216,8.016649623981689,-5.323009979138412,13.009567413221266
14,60,6.5686223137057205,12.108306629127995,-5.283203728737988,48.41650369121831
15,55,5.836519541486923,9.365906220715708,-5.267858159063326,30.672123831210417
