gen,nevals,avg,std,min,max
0,100,3.848272589507385,17.907369889999686,-6.19644412779452,66.86420156294975
1,91,5.226660382676024,20.96854153738382,-6.315358001522335,86.14742736117438
2,88,2.5454076646370716,18.993212064056028,-6.202535517187923,66.31982739098294
3,89,3.1994937284782163,18.042467730168347,-6.375024819828097,66.61092827018349
4,90,2.081230584358313,16.78084924097601,-6.361302477572996,66.28297229859378
5,90,7.495242308776874,21.480821305059628,-6.236369590203704,86.06234767677736
6,90,3.914256539647535,18.194649812904455,-6.198478716492308,66.2731522524128
7,90,2.6376544753710274,18.938373962964306,-6.492239835020471,84.06451856747526
8,92,2.480873850740826,18.21043122952583,-6.115892125483034,75.28626719449063
9,91,2.674841855279776,16.20492276813634,-6.887552571664617,66.24742736117437
10,90,1.0405093869138253,15.52251100151882,-6.413458957167357,66.29288973525112
11,88,1.2816420787428873,16.578557944515747,-6.637258031284457,85.15703951986407
12,89,2.117792720692973,16.317511378170373,-6.198478716492308,66.82385026742617
13,91,0.8667573109616231,13.915789948898292,-6.218600119691729,66.82385026742617
14,88,4.674183429145993,19.32989194885567,-6.139884552226255,75.51520306650934
15,87,7.20848369123126,23.569086593232452,-6.07993319509559,90.41302464366022
16,87,4.976206408495519,18.528957022944667,-5.840641657373398,75.57504998251859
17,93,5.20197213486754,17.79838378504623,-6.068425588244111,66.55326262833368
18,96,2.347807125748537,16.631098714440682,-6.068425588244111,75.01858578874553
19,95,4.9595232699119896,17.512378495466397,-6.089044875446846,66.29955642660931
20,87,3.085664418693826,16.84886879312359,-6.29156913955832,57.785064242391016
