
Ending local time|Runtime:|N_generations:|Pop_size:|Enemy:
Sat Oct  8 23:41:32 2022|4|10|3|[7, 8]
Sat Oct  8 23:51:47 2022|9|20|3|[7, 8]
Sun Oct  9 03:43:47 2022|223|20|100|[1, 5, 7]
Sun Oct  9 11:25:37 2022|33|30|3|[1, 5, 7]
Ending local time|Runtime|N_generations|Pop_size|Enemy|Lambda
Sun Oct  9 12:30:46 2022|46|20|10|[1, 5, 7]|20
Sun Oct  9 13:45:19 2022|54|20|10|[1, 5, 7]|30
Sun Oct  9 18:04:10 2022|149|20|50|[1, 5, 7]|80
Sun Oct  9 22:12:19 2022|192|20|50|[1, 5, 7]|100
Sat Oct 15 00:20:01 2022|110|15|50|[1, 5, 7]|65
Sat Oct 15 10:38:50 2022|34|15|50|[4, 6]|65
Sat Oct 15 13:23:57 2022|131|20|40|[4, 6]|160
Sat Oct 15 18:05:53 2022|246|30|40|[4, 6]|160
Sat Oct 15 22:37:02 2022|260|30|25|[4, 6]|150
Sun Oct 16 03:27:29 2022|277|30|25|[7, 8]|150
