gen,nevals,avg,std,min,max
0,100,4.5522506392414614,19.12379047002824,-6.525029657843462,66.2731522524128
1,91,7.439227161675643,21.954514594639555,-6.061456918928017,91.42326625757946
2,89,5.921614349372659,19.010261442614922,-6.093569770045136,66.33011907701948
3,86,6.450301332670367,20.92460556971746,-6.07993319509559,66.82951600496185
4,89,3.5448056216445814,17.227816161289258,-6.309918278226516,66.3266767328285
5,91,3.576535448278589,18.386289280253358,-6.459904454377535,75.1828888400368
6,86,6.617656618582843,20.92756903951547,-6.763884908562435,66.86420156294975
7,88,5.924861892493527,18.52938756655929,-6.09807428216624,66.86420156294975
8,85,2.890040992141042,16.287819389830485,-6.240275845170769,74.73660173740838
9,85,6.597790334135555,19.994209016877154,-6.214608098422191,66.5446788846423
10,88,5.896868668781578,19.250588664748456,-6.269096283706261,75.90624979919323
11,91,8.983756320796152,22.45076433858539,-6.0867747269123065,75.90624979919323
12,88,6.4986722246978195,20.532017227253448,-6.075346031088684,66.82385026742617
13,89,7.101721052417606,20.50054967259801,-6.035481432524756,66.60183729848225
14,89,7.7758356768538395,18.977625813058975,-5.860786223465865,66.7959933129232
15,92,12.345347899979595,24.770384799260427,-6.0867747269123065,75.26020708782076
16,92,5.773676808999924,19.490058967567478,-6.0867747269123065,66.31302464366019
17,90,6.311750793750313,21.33557262631571,-6.0867747269123065,88.1629722985938
18,86,8.742075300620296,22.37716121074805,-6.218600119691729,85.53288973525115
19,89,5.423816423030299,18.101078870616107,-6.210600077024653,66.28297229859378
20,90,7.350499577656359,21.433108628730274,-6.208590026096629,88.4119398588649
