gen,nevals,avg,std,min,max
0,50,-3.2952854175474533,6.605212993448868,-6.194405391104672,21.91240366476762
1,58,0.5525403832670647,9.58953374331374,-5.777652323222656,21.91240366476762
2,55,9.966654935120552,11.425146258617255,-5.545177444479563,39.14206684551654
3,54,21.354119995703257,11.361409962811475,-2.7080502011022105,48.0730739740296
4,59,29.822168629372126,13.446986421276128,4.195978955266742,57.61092827018349
5,59,36.215132882607726,13.134806920053837,12.906249799193237,57.61092827018349
6,52,46.15640035999363,10.28335983017382,21.742504627972217,66.54041448585585
7,62,49.44689903726009,12.04523987408079,12.812614194159249,66.54041448585585
8,59,54.93110335406878,13.02118933818374,3.30964054567594,66.54041448585585
9,58,61.25721024469385,8.711614535725397,30.30964054567594,66.54041448585585
10,59,64.91935339233969,5.873106974672143,30.624721592315836,66.62010264645954
11,62,66.19333431692736,1.790778307488537,57.36521039683075,66.62010264645954
12,56,66.5604408651023,0.032374282217128236,66.54041448585585,66.62010264645954
13,61,66.58279413126024,0.03657524748848057,66.54041448585585,66.62010264645954
14,62,66.60219430315759,0.029697647146699205,66.54041448585585,66.62010264645954
15,60,65.89408579453149,3.963268518031401,39.58835394814497,66.62010264645954
