gen,nevals,avg,std,min,max
0,40,-2.687347083413184,6.264307289988535,-7.253470382684528,13.009567413221266
1,131,7.521014511510853,9.290304949480348,-5.958424693029782,30.100102646417504
2,143,15.21342623204348,6.56359864688046,3.2895729826251294,30.68679402095821
3,144,18.79315675459916,7.123207267797316,12.82951600496185,30.68679402095821
4,141,22.475493203167666,6.404575759483062,13.009567413221262,30.68679402095821
5,147,23.57358713642831,6.386499506518119,12.27641489804762,30.68679402095821
6,141,26.77588829799739,5.26869509942344,13.009567413221266,30.68679402095821
7,147,29.433345357754206,2.987178778115028,21.439318368984473,30.68679402095821
8,144,30.127021546883224,3.319328747930599,21.66728120673463,38.69190155849047
9,141,30.798002699054972,3.008944450821315,21.67699002086159,38.94087680441821
10,146,31.85436232695732,4.862292025118167,21.68188000615578,47.90192571783376
11,140,34.02976531207272,6.882142053008253,21.66728120673463,56.79140997390337
12,149,34.81044016198255,7.153738150754468,12.70669517527551,56.61312068063735
13,141,35.793194344672784,8.987735086381681,12.540414485855841,56.61312068063735
14,140,37.50222355998634,6.057042877826078,29.62838815276814,48.00354791138098
15,141,39.7230172630335,7.6817781182953535,29.72712299345383,56.9362147913124
16,153,39.457001139552645,9.16004914269787,21.6109282701835,65.45321458923948
17,147,41.20138169696958,8.526155304350903,21.498741789455273,65.45321458923948
18,145,47.88511918006259,11.65833337989126,21.801502968734177,74.42911703766042
19,147,50.99231022011783,11.429887294426026,30.130703086866223,74.6684981501063
20,140,55.89706740153427,9.85890833046849,39.01606371931281,74.6684981501063
